Year,TM,real_team_id,HITTERS,INJ,AB,SO vlhp,BB v lhp,HIT v lhp,OB v lhp,TB v lhp,HR v lhp,BP v lhp,CL v lhp,DP v lhp,SO v rhp,BB v rhp,HIT v rhp,OB v rhp,TB v rhp,HR v rhp,BP v rhp,CL v rhp,DP v rhp,STEALING,STL,SPD,B,H,CA,1B,2B,3B,SS,LF,CF,RF,FIELDING,rml_team_id
2015,CHI(A),6,"Abreu,J",,613,22,5,16.6,26.6,24.8,0.9,0,5,23,24,1,29.5,35.5,49,4.2,8,5,22,-/- (---),E,11,D,B,,416,,,,,,,1b-4e16,5
2015,NY(A),1,"Ackley,D*",,238,27,18,0.6,19.6,1.2,0,w*,0,10,15,5,18.6,24.6,36.9,3.4,6,-6,12,"4-6/11,12 (13-6)",D,13,C,C,,416,420,,,201,401,,lf-2(+2)e1 cf-4e1 2b-4e20 1b-4e16,17
2015,STL,27,"Adams,M*",,175,54,8,13.1,21.1,16.4,0,w,-6,12,22,1,20.2,21.2,31.8,2.2,4,-7,13,2/- (20-6),E,10,D,C,,312,,,,,,,1b-3e12,9
2015,SF,25,"Adrianza,E+",,113,0,14,6.2,27.1,11.6,0,w*,0,10,18,16,8.1,31.1,17.1,0,w*,0,10,"*3,6-8/11 (15-10)",C,15,B,C,,425,322,437,410,,,,ss-4e10 2b-3e22 1b-4e25 3b-4e37,4
2015,ARIZ,2,"Ahmed,N",,421,5,8,26.3,34.3,40.8,0.8,0,-12,7,19,6,13.9,19.9,24,1.4,1,-6,7,"2-5,11,12/7 (13-6)",D,15,B,C,,,,,218,,,,ss-2e18,9
2015,CLE,1,"Almonte,A+",,232,22,2,22.9,24.9,22.9,0,w,-13,17,24,12,19.9,31.9,41.3,1.6,2,-5,15,*6/- (19-11),B,15,B,C,,,,,,212,212,212,cf-2(-1)e12 lf-2e12 rf-2e12,7
2015,SD,24,"Alonso,Y*",,354,16,13,26.5,41.5,28.3,0.6,0,-13,20,2,12,28,42,41.9,2.7,w,-13,23,"5,6/8-10 (13-3)",D,11,D,B,,205,,437,,,,,1b-2e5 3b-4e37,13
2015,PHI,22,"Altherr,A",,137,22,14,14.8,35.8,35.6,0.8,0*,0,13,37,15,18.2,40.2,47,3.3,4*,0,18,"*2-5,11,12/- (18-13)",B,15,D,D,,,,,,204,204,204,lf-2(-2)e4 rf-2e4 cf-2e4,17
2015,HOU,12,"Altuve,J",,638,0,5,45.5,53.5,61.5,1.5,1,-9,20,0,0,31.9,34.9,41.6,0.8,1,-10,21,"*2-5,11,12/- (18-14)",AA,17,B,B,,,205,,,,,,2b-2e5,15
2015,PIT,23,"Alvarez,P*",,437,41,1,18.2,20.2,31.4,4.4,8,0,18,37,10,14.4,25.4,35.4,6,8,0,13,2/- (20-6),E,11,D,D,,530,,,,,,,1b-5e30,4
2015,SD,24,"Amarista,A*",,324,12,3,15.1,19.1,21.1,0,w,10,19,14,3,10.9,14.9,21.4,2,w,10,19,*5/- (19-6),C,14,C,B,,,305,318,326,307,407,,ss-3e26 2b-3e5 lf-3(0)e7 3b-3e18 cf-4e7,14
2015,TEX,29,"Andrus,E",,596,3,6,27.9,34.9,38.8,1,1,-2,21,4,9,20.2,30.2,29,1,w,-2,20,"*2-5,12/- (18-13)",A,17,A,B,,,,,223,,,,ss-2e23,20
2015,SF,25,"Aoki,N*",,355,0,8,37.2,48.2,39.7,0,w,0,17,0,7,22.8,32.8,27.7,0.5,1,0,18,"*2-5,12/- (17-12)",B,14,D,B,,,,,,302,,302,lf-3(-1)e2 rf-3e2,6
2015,COL,10,"Arenado,N",,616,10,0,22.4,23.4,38.7,2.5,4,5,24,14,0,26.2,27.2,64,8.8,8,5,23,"5,6/7,8 (13-3)",D,10,D,C,,,,118,,,,,3b-1e18,6
2015,PHI,22,"Asche,C*",,425,35,5,19.6,26.6,24.7,0.8,0,-7,11,30,2,20.7,24.7,33.7,1.8,3,-7,13,7/8 (13-3),E,11,D,D,,,,426,,405,,,lf-4(+1)e5 3b-4e26,5
2015,DET,11,"Avila,A*",,178,52,23,1.3,24.3,2.6,0,w*,0,14,39,33,7.1,40.1,11.4,1.5,1,-4,14,2-5/- (3-1),E,8,D,D,202,411,,,,,,,"c-2(0)e2,T-2(pb-1) 1b-4e11",11
2015,CLE,9,"Aviles,M",,290,5,9,19.3,29.3,23.5,1.4,1,-9,30,3,3,17,21,24.8,1.4,w,-9,33,5/- (15-6),C,13,B,B,,,318,337,425,406,406,,lf-4(-1)e6 3b-3e37 ss-4e25 2b-3e18 cf-4e6,16
2015,LA(A),14,"Aybar,E+",,597,3,0,26.4,28.4,30.4,0,w,0,18,5,1,26.9,29.9,36.3,1.5,w,0,18,*2-5/- (16-11),B,15,A,B,,,,,218,,,,ss-2e18,5
2015,SD,24,"Barmes,C",,207,39,0,21.4,25.4,32.7,0.8,1,-8,0,23,1,17.9,22.9,33.4,1.8,w,-4,0,3-6/- (3-1),E,12,C,D,,425,,,323,,,,ss-3e23 1b-4e25,25
2015,COL,10,"Barnes,B",,255,52,4,16.7,22.7,16.7,0,w,-12,20,20,8,23.5,33.5,40.8,2.2,w,-11,19,"*2-5,12/- (15-11)",C,15,D,D,,,,,,204,304,204,lf-2(+1)e4 rf-2e4 cf-3e4,6
2015,CIN,8,"Barnhart,T+",,242,11,13,6.5,21.5,6.5,0,w,-4,28,16,6,25.7,33.7,29.2,0,0,-9,31,"5,6/- (3-1)",E,10,C,C,201,,,,,,,525,"c-2(0)e1,T-4(pb-2) rf-5(+1)e25",16
2015,TOR,30,"Bautista,J",,543,10,33,10.8,45.8,25.4,2.5,4*,0,16,12,27,13.1,42.1,37,6.3,8,3,16,5/- (16-6),C,13,D,C,,,,,,,,304,rf-3(-1)e4,22
2015,CHI(A),6,"Beckham,G",,211,11,8,12.7,22.7,18.4,1.9,3,1,20,23,11,11.1,24,20.1,1.1,1,1,20,4-6/- (3-1),E,13,D,C,,,216,210,442,,,,3b-2e10 2b-2e16 ss-4e42,7
