Year,TM,real_team_id,PITCHERS,IP,SO_v_l,BB_v_l,HIT_v_l,OB_v_l,TB_v_l,HR_v_l,BP_v_l,DP_v_l,SO_v_r,BB_v_r,HIT_v_r,OB_v_r,TB_v_r,HR_v_r,BP_v_r,DP_v_r,HO,ENDURANCE,FIELD,BK,WP,BAT_B,STL,SPD,rml_team_id
2015,ATN,3,"Aardsma,D",31,18,14,26.5,40.5,74,10.5,8*,11,47,11,6.4,17.5,18.3,2.8,5*,7,8,R(2),'4-46,0,7,1WR-C,E,10,25
2015,OAA,21,"Abad,F*",48,28,3,22.6,25.6,58,9.3,8,0,24,18,6.5,24.5,21.8,3.8,7*,0,-3,R(1),'3- 0,0,18,1WL-C,E,10,25
2015,SFN,25,"Affeldt,J*",35,10,7,26.6,33.7,39.3,2.6,5,7,0,9,27,36,44,4.8,8,7,7,R(1),'3- 0,0,5,1WL-C,E,10,16
2015,CHA,6,"Albers,M",37,6,10,21.1,31.1,26.3,1,0,8,29,0,7.3,7.3,11.8,1.4,1,8,6,R(2),'3-39,0,0,1WL-C,E,10,23
2015,DEA,11,"Alburquerque,A",62,25,17,16,33,29.2,3.2,5,3,25,17,22.8,39.8,27.5,0,0,3,9,R(1),'3- 0,20,17,1WR-C,E,10,25
2015,CLA,9,"Allen,C",69,51,12,6.8,18.8,11.5,0,0,2,42,9,21.9,30.9,33.2,0,0,0,2,R(1) C(6),'2- 0,0,20,1WR-C,E,10,20
2015,LAA,14,"Alvarez,J*",67,28,6,13.6,19.5,15.2,0,0,9,21,8,12.9,21,23.9,1.2,2,7,-5,R(2),'2- 0,0,2,1WL-C,E,10,15
2015,LAN,15,"Anderson,B*",180,12,6,26.9,32.9,34.3,0,0,12,9,4,23.3,27.3,33.3,2.6,3,12,-2,S(6),'4- 0,4,4,1WL-C,E,10,13
2015,ARN,2,"Anderson,C",153,22,9,19.1,28.1,31.5,1.4,1,8,10,3,25,28,40,2.8,4,10,-2,S(6),'3-19,0,4,1WR-A,E,13,20
2015,CLA,9,"Anderson,C",91,3,6,17.2,23.2,34.5,2.6,3,9,6,6,15.5,21.5,20.5,0.6,1,9,-3,S(7),'2- 0,5,0,1WR-C,E,10,12
2015,TBA,28,"Andriese,M",66,15,8,23,31,33.5,2.8,4,0,18,3,21,24,28.8,0.6,1,0,-1,S(5) R(3) C(1),'3- 0,12,6,1WR-C,E,10,11
2015,PHN,22,"Araujo,E*",35,21,10,17.2,27.2,22.4,0,0,10,31,28,4.8,32.8,6.4,0,0,9,4,R(1),'3- 0,0,12,1WL-D,E,10,10
2015,TBA,28,"Archer,C",212,41,5,13.8,18.8,21,1,0,1,39,12,10.8,22.9,15.4,1.2,2,0,0,S(6*),'3-14,0,14,1WR-C,E,10,15
2015,CHN,7,"Arrieta,J",229,45,6,1.2,7.2,1.2,0,0*,7,30,3,11.1,14,18.3,0,0,7,6,S(7*),'3-26,0,6,6NR-C,E,13,22
2015,TOT,1,"Avilan,L*",53,27,0,25.4,25.4,34.6,1.6,2,11,23,11,8.4,19.4,20.3,2.8,4,9,1,R(1),'3-27,7,8,1WL-C,E,10,16
2015,CON,10,"Axford,J",56,37,13,16.9,29.9,17.7,0,0,0,28,20,16.7,36.7,24.1,1.4,1,0,7,R(1) C(5),'4-26,0,3,1WR-C,E,10,6
2015,CIN,8,"Badenhop,B",66,0,8,22,30,36.8,0.4,0,7,10,2,27.9,29.9,31.6,0.4,0,7,2,R(1),'2- 0,0,0,1WR-C,E,10,5
2015,LAN,15,"Baez,P",51,42,7,18.7,25.7,38.7,1,0,0,41,2,19.1,21.1,35.6,1.2,1,0,-4,R(2),'3-28,9,4,1WR-C,E,10,3
2015,BOA,5,"Barnes,M",43,15,12,22.9,34.9,38.2,1.2,2,7,26,6,29.7,35.7,53.6,7.6,8,2,9,S(5) R(3),'4- 0,0,19,1WR-C,E,10,4
2015,WAN,31,"Barrett,A",29,27,3,7.6,10.6,18.8,0,0,10,41,6,21.5,27.5,24.5,0,0,3,9,R(1),'4-51,0,7,1WR-C,E,10,12
2015,TEA,29,"Bass,A",64,7,16,22.2,38.2,35.2,0.8,0,7,19,2,21.3,23.3,41.1,0.8,0,7,-2,R(3),'3-23,0,3,1WR-C,E,13,25
2015,OAA,21,"Bassitt,C",86,16,14,8.9,22.9,16.2,0,0,11,19,5,23,28,31.7,0,0,11,4,S(6) R(3),'4-17,0,13,1WR-C,E,10,4
2015,PIN,23,"Bastardo,A*",57,33,9,2,11,4.2,0.6,1,0,37,16,5.5,21.4,10.4,0.8,1,0,9,R(1) C(0),'4-26,0,20,1WR-C,E,10,19
2015,CLA,9,"Bauer,T",176,25,18,8.1,26.1,16.5,2.2,4,4,31,12,12.9,25,26.7,2,3,6,2,S(6),'3- 8,2,8,1WR-C,E,10,2
2015,LAA,14,"Bedrosian,C",33,12,16,38.4,54.4,50.4,3,5,0,32,17,18.1,35.1,27.9,0,0,0,4,R(1),'4- 0,0,12,1WR-C,E,10,15
2015,SEA,26,"Beimel,J*",47,9,10,20.4,30.4,38.3,4.8,8,10,0,4,21.8,25.8,32,3,5,10,-6,R(1) C(0),'3- 0,0,4,1WL-C,E,10,25
2015,STN,27,"Belisle,M",34,23,17,15.9,32.9,23.1,0,0,5,11,10,21.7,31.7,23.9,0,0,5,0,R(1),'3- 0,0,0,1WR-C,E,10,25
2015,SDN,24,"Benoit,J",65,38,6,5.3,11.3,19.1,3.4,6*,0,26,17,0,17,0,0,0*,0,3,R(1) C(1),'2- 0,0,7,1WR-C,E,10,1
2015,CON,10,"Bergman,C",68,21,2,19,21,29.6,0,0,12,0,3,36,39,59.9,3.4,5,14,-3,S(5) R(3),'2- 0,0,13,1WR-B,E,10,25
2015,NYA,19,"Betances,D",84,65,13,0,13,0,0,0*,0,53,21,2.3,23.3,4.7,0.8,1*,0,9,R(1) C(3),'4- 0,0,20,1WR-C,E,10,23
2015,CON,10,"Betancourt,R",39,47,14,9.1,23.1,17.9,0.8,0,0,16,0,27,27,48.8,1.8,2,0,7,R(1) C(0),'4- 0,0,0,1WR-C,E,10,25
2015,CON,10,"Bettis,C",115,16,14,15.8,29.9,28.1,0.2,0,6,26,4,24.8,28.8,45.1,2.2,3,5,-3,S(6),'3- 0,0,11,1WR-D,E,10,6
2015,TOT,1,"Blanton,J",76,24,2,22.6,24.6,43.1,2.2,3,5,43,0,14.3,14.3,22.5,0.8,1,6,1,S(5) R(3) C(1),'3-20,0,5,1WR-C,E,10,7
2015,MLN,17,"Blazek,M",56,27,5,3.5,8.6,8.4,1,1,0,20,13,8.8,21.8,14.3,0,0,0,-1,R(2),'2-26,0,12,3WR-C,E,10,17
2015,LAN,15,"Bolsinger,M",109,18,17,21.5,38.5,28.2,0.6,1,9,28,9,12,21,20.5,1.6,3,9,4,S(5),'4-40,3,12,1WR-C,E,10,3
2015,TBA,28,"Boxberger,B",63,40,12,11.6,23.5,17.7,1.8,2,3,35,16,11.9,27.9,22.3,3.2,7,1,6,R(1) C(6),'5-46,5,17,1WR-C,E,10,22
2015,TOT,1,"Boyd,M*",57,3,7,38.2,45.2,86.3,12,8,13,21,11,23,34,51.5,7,8,9,-4,S(5),'3-26,0,15,1WL-C,E,10,14
2015,MNA,18,"Boyer,B",65,7,1,12.1,13.1,14.1,0,0,6,5,7,19.1,26.1,36.4,2,3,6,3,R(1) C(0),'4-44,0,18,1WR-C,E,10,6
2015,BAA,4,"Brach,B",79,35,12,6.8,18.9,12.1,0,0*,7,44,19,8.6,27.5,21.9,2.8,5*,0,4,R(2) C(0),'4-18,0,2,1WR-C,E,10,6
2015,BOA,5,"Breslow,C*",65,8,6,25.8,31.8,41,3,6,5,18,7,16.5,23.5,38,4.8,8,3,-3,S(5) R(3) C(0),'4-22,0,6,1WL-C,E,10,25
2015,BAA,4,"Britton,Z*",66,63,1,0.8,1.8,0.8,0,0*,10,39,3,17,20,20.6,0,0,12,-5,R(1) C(6),'3- 0,0,19,1WL-C,E,10,3
2015,CON,10,"Brown,B",33,2,21,16.2,37.2,34.6,0.8,0,3,11,14,16.1,30,18.9,0,0,3,9,R(1),'4- 0,0,12,1WL-C,E,10,25
2015,TOT,1,"Broxton,J",60,27,6,31.8,37.8,40.6,0.8,1,7,34,14,9.1,23.1,27.3,2.4,4,6,1,R(1),'4-24,0,0,1WR-C,E,10,10
2015,PHN,22,"Buchanan,D",75,1,14,32.5,46.5,56.6,3.8,6,12,10,6,37.3,43.3,56.1,1.6,1,11,-3,S(5),'4-19,0,5,3WR-D,E,10,7
2015,BOA,5,"Buchholz,C",113,33,0,16,16,20.6,0,0,11,22,7,23.9,30.8,34,0,0,12,-2,S(6),'4-26,0,5,1WL-C,E,10,19
2015,TOA,30,"Buehrle,M*",199,0,0,24.4,24.4,39.1,3,5,11,4,0,21.8,21.8,34,1.4,1,12,-4,S(6*),'2-22,0,0,1WL-B,E,10,16
2015,SFN,25,"Bumgarner,M*",218,46,1,13.4,14.4,20.1,0.6,1,2,33,1,15.4,16.5,24.3,1.6,4,3,-3,S(7*),'2- 7,0,0,7NR-B,E,13,4
2015,ARN,2,"Burgos,E",27,21,33,18.6,51.7,21.6,1,0,0,48,9,15.4,24.5,24.5,0.4,0,0,-1,R(1) C(1),'3- 0,0,20,1WR-C,E,10,20
2015,PIN,23,"Burnett,A",164,18,13,15.5,28.5,17,0,0,8,26,3,26.9,29.9,33.8,0.8,1,7,9,S(6),'4-27,2,7,6NR-A,E,13,16
2015,CON,10,"Butler,E",79,2,22,29.5,51.5,55.2,3.6,5,11,7,8,25.3,33.3,43.8,1.8,3,11,0,S(5),'3-51,0,0,1WR-B,E,10,22
2015,SFN,25,"Cain,M",61,3,8,28.4,36.3,59,5,8,9,18,9,23.1,32.2,50.8,4.5,8,9,7,S(5) R(3),'4- 0,0,3,1WR-A,E,14,13
2015,PIN,23,"Caminero,A",75,26,16,9.9,25.9,20.4,1.6,2*,4,29,8,13.7,21.7,22.1,1.4,2,4,6,R(2),'4- 0,4,18,1WR-C,E,10,6
